8749, -40, (-2, 2), (2, -2), (2, -2), (2, -2), (2, -2)
8750, -40, (2, -2), (-2, -2), (-2, -2), (-2, -2), (-2, -2)
8906, -40, (2, -2), (0, 0), (0, 0), (0, 0), (0, 0)
9062, -40, (2, -2), (2, 2), (2, 2), (2, 2), (2, 2)
9218, -40, (2, -2), (-2, 2), (-2, 2), (-2, 2), (-2, 2)
9370, -40, (2, -2), (2, -2), (2, -2), (2, -2), (-2, -2)
9371, -40, (2, -2), (2, -2), (2, -2), (2, -2), (0, 0)
9372, -40, (2, -2), (2, -2), (2, -2), (2, -2), (2, 2)
9373, -40, (2, -2), (2, -2), (2, -2), (2, -2), (-2, 2)
9374, -40, (2, -2), (2, -2), (2, -2), (2, -2), (2, -2)
9375, -20, (-2, -2), (-2, -2), (-2, -2), (-2, -2), (-2, -2)
9376, -20, (-2, -2), (-2, -2), (-2, -2), (-2, -2), (0, 0)
9377, -20, (-2, -2), (-2, -2), (-2, -2), (-2, -2), (2, 2)
9378, -20, (-2, -2), (-2, -2), (-2, -2), (-2, -2), (-2, 2)
9379, -20, (-2, -2), (-2, -2), (-2, -2), (-2, -2), (2, -2)
9531, -20, (-2, -2), (0, 0), (0, 0), (0, 0), (0, 0)
9687, -20, (-2, -2), (2, 2), (2, 2), (2, 2), (2, 2)
9843, -20, (-2, -2), (-2, 2), (-2, 2), (-2, 2), (-2, 2)
9999, -20, (-2, -2), (2, -2), (2, -2), (2, -2), (2, -2)
10000, -20, (0, 0), (-2, -2), (-2, -2), (-2, -2), (-2, -2)
10155, -20, (0, 0), (0, 0), (0, 0), (0, 0), (-2, -2)
10156, -20, (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)
10157, -20, (0, 0), (0, 0), (0, 0), (0, 0), (2, 2)
10158, -20, (0, 0), (0, 0), (0, 0), (0, 0), (-2, 2)
10159, -20, (0, 0), (0, 0), (0, 0), (0, 0), (2, -2)
10312, -20, (0, 0), (2, 2), (2, 2), (2, 2), (2, 2)
